Пол,Возраст,Путешествует с детьми,Расстояние,Включён завтрак,Наличие wifi,Оценка удобства добирания до места,Оценка интерсности досуга,Оценка качества питания,Оценка качества wifi,Оценка комфортности палатки,Общая оценка качества предоставленной услуги
муж,"80,72",да,3529,1,1,2,хорошо,хорошо,отсутствует,плохо,плохо
муж,"20,34",нет,2972,0,1,5,плохо,плохо,хорошо,плохо,плохо
муж,"30,97",да,2879,0,0,4,плохо,плохо,плохо,плохо,отсутствует
жен,"43,09",да,4436,0,1,4,хорошо,отсутствует,плохо,плохо,плохо
муж,"67,67",да,481,0,0,5,плохо,плохо,плохо,хорошо,плохо
жен,"29,71",да,2190,0,1,4,хорошо,плохо,хорошо,хорошо,хорошо
жен,"43,95",да,817,1,1,4,плохо,плохо,плохо,хорошо,отсутствует
жен,"58,96",да,2490,0,0,5,хорошо,плохо,отсутствует,отсутствует,отсутствует
жен,"88,92",нет,3457,1,0,5,плохо,плохо,хорошо,хорошо,плохо
жен,"63,6",да,1798,1,0,1,плохо,отсутствует,плохо,плохо,хорошо
жен,"52,78",нет,4189,0,0,2,отсутствует,хорошо,отсутствует,плохо,хорошо
муж,"62,3",нет,3886,0,0,5,плохо,хорошо,хорошо,отсутствует,плохо
муж,"81,34",нет,3276,1,0,5,плохо,плохо,отсутствует,хорошо,плохо
жен,"58,88",нет,2452,1,1,4,отсутствует,плохо,плохо,хорошо,хорошо
жен,"88,75",да,2688,1,0,1,хорошо,плохо,хорошо,хорошо,хорошо
жен,"20,16",нет,2903,1,1,4,плохо,хорошо,отсутствует,отсутствует,отсутствует
муж,"68,03",да,2659,1,1,4,плохо,отсутствует,хорошо,плохо,плохо
жен,"38,73",да,3682,1,0,5,хорошо,плохо,хорошо,хорошо,отсутствует
жен,"83,56",да,4910,0,1,5,плохо,отсутствует,отсутствует,хорошо,отсутствует
жен,"81,51",да,2375,1,1,3,отсутствует,хорошо,отсутствует,плохо,хорошо
жен,"78,54",нет,2302,1,0,4,отсутствует,хорошо,хорошо,хорошо,отсутствует
