пол,возраст,путешествует_с_детьми,расстояние,включён_завтрак,наличие_wifi,оценка_удобства_добирания_до_места,оценка_интерсности_досуга,оценка_качества_питания,оценка_качества_wifi,оценка_комфортности_палатки,общая_оценка_качества_предоставленной_услуги,возраст_кат
жен,59,нет,2523,1,1,3,плохо,отсутствует,плохо,плохо,плохо,более_30
муж,19,нет,2259,0,1,4,отсутствует,плохо,хорошо,хорошо,плохо,менее_30
муж,44,да,3644,0,0,2,плохо,хорошо,хорошо,отсутствует,хорошо,более_30
жен,90,нет,138,1,0,3,отсутствует,отсутствует,хорошо,плохо,хорошо,более_30
жен,68,да,3048,1,0,4,плохо,отсутствует,плохо,отсутствует,хорошо,более_30
жен,74,да,2563,0,0,5,отсутствует,хорошо,плохо,хорошо,плохо,более_30
муж,75,нет,2434,0,1,4,плохо,отсутствует,хорошо,плохо,плохо,более_30
муж,48,нет,3610,1,1,5,хорошо,плохо,хорошо,плохо,хорошо,более_30
муж,87,нет,2013,1,1,3,плохо,отсутствует,отсутствует,хорошо,отсутствует,более_30
муж,30,да,3586,0,0,3,плохо,плохо,плохо,хорошо,плохо,менее_30
жен,57,нет,3752,1,0,2,хорошо,плохо,хорошо,хорошо,хорошо,более_30
жен,25,нет,3867,0,0,1,хорошо,плохо,отсутствует,отсутствует,хорошо,менее_30
муж,71,нет,2687,1,1,4,хорошо,отсутствует,хорошо,хорошо,хорошо,более_30
муж,27,да,2859,0,0,4,отсутствует,плохо,отсутствует,хорошо,плохо,менее_30
муж,61,да,4885,1,0,2,плохо,хорошо,отсутствует,хорошо,хорошо,более_30
жен,35,да,3843,1,0,2,плохо,плохо,отсутствует,отсутствует,плохо,более_30
муж,33,да,3322,0,1,1,плохо,отсутствует,плохо,хорошо,отсутствует,более_30
жен,19,да,891,0,1,2,плохо,хорошо,хорошо,плохо,отсутствует,менее_30
жен,65,нет,229,0,0,4,отсутствует,отсутствует,плохо,хорошо,отсутствует,более_30
жен,29,нет,1142,1,0,1,хорошо,хорошо,плохо,хорошо,отсутствует,менее_30
муж,37,нет,1398,0,1,1,хорошо,хорошо,хорошо,хорошо,хорошо,более_30
жен,78,да,4489,0,1,3,отсутствует,отсутствует,отсутствует,хорошо,хорошо,более_30
жен,38,нет,3414,0,0,2,плохо,отсутствует,плохо,хорошо,плохо,более_30
жен,37,да,3565,0,0,1,отсутствует,плохо,хорошо,хорошо,хорошо,более_30
жен,27,да,1507,0,0,2,хорошо,отсутствует,хорошо,отсутствует,плохо,менее_30
жен,52,да,3272,1,0,4,плохо,плохо,плохо,плохо,отсутствует,более_30
муж,12,нет,4310,0,0,1,плохо,хорошо,хорошо,отсутствует,хорошо,менее_30
жен,81,нет,1558,1,0,2,плохо,плохо,отсутствует,отсутствует,отсутствует,более_30
жен,11,да,4066,0,0,4,плохо,плохо,хорошо,отсутствует,хорошо,менее_30
жен,46,да,3631,1,0,1,отсутствует,хорошо,плохо,отсутствует,плохо,более_30
муж,77,нет,3371,0,1,3,хорошо,плохо,плохо,хорошо,отсутствует,более_30
жен,27,нет,1157,0,1,2,отсутствует,плохо,плохо,хорошо,хорошо,менее_30
муж,65,нет,3379,0,1,3,хорошо,плохо,отсутствует,отсутствует,плохо,более_30
муж,89,да,2708,0,0,3,хорошо,хорошо,отсутствует,хорошо,плохо,более_30
жен,90,нет,1999,1,1,5,хорошо,плохо,отсутствует,плохо,отсутствует,более_30
жен,18,да,3887,0,1,2,плохо,плохо,хорошо,хорошо,плохо,менее_30
муж,74,нет,385,1,0,2,хорошо,плохо,плохо,хорошо,отсутствует,более_30
муж,73,да,2524,1,0,5,хорошо,отсутствует,отсутствует,отсутствует,плохо,более_30
жен,59,да,1120,0,1,1,отсутствует,отсутствует,плохо,хорошо,хорошо,более_30
муж,44,да,2148,0,0,5,отсутствует,плохо,плохо,плохо,плохо,более_30
муж,5,да,1106,0,0,5,хорошо,хорошо,отсутствует,отсутствует,плохо,менее_30
жен,45,нет,921,0,1,4,хорошо,плохо,хорошо,отсутствует,хорошо,более_30
муж,7,да,1881,0,1,4,плохо,отсутствует,хорошо,хорошо,хорошо,менее_30
жен,20,да,2278,0,0,2,плохо,плохо,отсутствует,плохо,плохо,менее_30
муж,19,да,2639,0,0,2,отсутствует,хорошо,хорошо,плохо,плохо,менее_30
муж,53,нет,1585,0,1,4,хорошо,отсутствует,отсутствует,хорошо,отсутствует,более_30
жен,2,нет,1569,1,1,3,хорошо,плохо,плохо,хорошо,отсутствует,менее_30
муж,11,да,3217,1,0,4,плохо,плохо,плохо,отсутствует,плохо,менее_30
жен,88,да,1072,0,0,2,плохо,хорошо,отсутствует,отсутствует,отсутствует,более_30
жен,42,нет,4228,1,0,2,отсутствует,хорошо,плохо,отсутствует,хорошо,более_30
муж,59,нет,532,1,1,2,отсутствует,отсутствует,плохо,плохо,плохо,более_30
муж,25,да,3494,1,1,3,плохо,хорошо,хорошо,хорошо,отсутствует,менее_30
муж,24,да,1637,1,0,4,хорошо,отсутствует,плохо,отсутствует,отсутствует,менее_30
муж,32,нет,3648,0,1,5,отсутствует,отсутствует,плохо,хорошо,плохо,более_30
жен,75,да,460,1,1,4,хорошо,хорошо,плохо,плохо,отсутствует,более_30
жен,63,да,2213,1,0,4,плохо,отсутствует,отсутствует,плохо,хорошо,более_30
муж,6,да,2165,0,0,5,хорошо,хорошо,хорошо,хорошо,плохо,менее_30
муж,54,нет,1618,0,0,5,хорошо,отсутствует,плохо,плохо,отсутствует,более_30
муж,53,да,359,1,1,2,отсутствует,плохо,плохо,хорошо,отсутствует,более_30
жен,26,да,4323,0,1,1,плохо,хорошо,хорошо,плохо,хорошо,менее_30
муж,11,да,369,0,0,4,хорошо,отсутствует,хорошо,плохо,плохо,менее_30
муж,22,нет,4872,0,0,3,хорошо,хорошо,хорошо,плохо,хорошо,менее_30
жен,64,да,2961,1,1,1,плохо,отсутствует,отсутствует,хорошо,хорошо,более_30
муж,64,нет,2298,0,0,2,плохо,отсутствует,хорошо,отсутствует,хорошо,более_30
муж,73,да,2921,0,0,3,хорошо,отсутствует,плохо,плохо,плохо,более_30
жен,51,да,1699,0,0,5,хорошо,отсутствует,плохо,плохо,хорошо,более_30
жен,19,нет,327,1,1,4,отсутствует,плохо,плохо,плохо,плохо,менее_30
жен,11,нет,1683,1,1,4,отсутствует,хорошо,отсутствует,хорошо,отсутствует,менее_30
муж,18,нет,2542,0,0,4,отсутствует,отсутствует,плохо,отсутствует,отсутствует,менее_30
муж,73,да,542,0,0,3,хорошо,плохо,отсутствует,отсутствует,отсутствует,более_30
муж,82,нет,253,1,1,3,хорошо,плохо,отсутствует,отсутствует,отсутствует,более_30
муж,1,нет,3503,0,1,4,хорошо,хорошо,хорошо,плохо,плохо,менее_30
муж,86,да,2256,1,1,4,отсутствует,плохо,хорошо,хорошо,хорошо,более_30
муж,81,да,4263,0,1,2,отсутствует,хорошо,отсутствует,хорошо,отсутствует,более_30
жен,12,нет,747,0,1,3,плохо,хорошо,плохо,отсутствует,отсутствует,менее_30
жен,9,да,4347,1,1,3,плохо,хорошо,плохо,плохо,хорошо,менее_30
муж,38,да,418,0,1,3,хорошо,хорошо,отсутствует,плохо,хорошо,более_30
жен,66,да,4698,0,0,5,хорошо,хорошо,плохо,отсутствует,хорошо,более_30
муж,75,да,2001,0,1,1,отсутствует,плохо,плохо,плохо,плохо,более_30
муж,52,нет,1680,1,1,1,плохо,плохо,плохо,хорошо,плохо,более_30
муж,36,нет,2098,1,0,5,плохо,хорошо,отсутствует,хорошо,хорошо,более_30
жен,90,да,2954,1,1,4,хорошо,хорошо,плохо,хорошо,отсутствует,более_30
муж,47,нет,2105,0,0,5,плохо,отсутствует,отсутствует,отсутствует,плохо,более_30
жен,78,да,2291,0,1,1,отсутствует,отсутствует,хорошо,плохо,плохо,более_30
жен,7,да,970,0,1,3,плохо,отсутствует,отсутствует,отсутствует,хорошо,менее_30
жен,77,да,4821,0,0,4,плохо,отсутствует,плохо,плохо,отсутствует,более_30
муж,26,нет,3903,1,1,1,плохо,плохо,отсутствует,плохо,хорошо,менее_30
муж,83,нет,249,0,0,2,хорошо,плохо,хорошо,отсутствует,хорошо,более_30
муж,42,да,4769,0,0,2,отсутствует,хорошо,плохо,плохо,плохо,более_30
муж,18,да,4778,0,1,3,хорошо,отсутствует,плохо,хорошо,плохо,менее_30
муж,25,нет,4345,0,0,1,плохо,отсутствует,хорошо,плохо,плохо,менее_30
жен,73,да,4899,0,0,4,плохо,плохо,отсутствует,хорошо,хорошо,более_30
муж,22,да,3867,1,1,1,хорошо,хорошо,отсутствует,хорошо,плохо,менее_30
муж,68,нет,151,0,0,3,хорошо,отсутствует,плохо,плохо,отсутствует,более_30
жен,1,нет,1901,1,0,3,хорошо,плохо,хорошо,хорошо,хорошо,менее_30
жен,69,да,4175,0,1,2,хорошо,хорошо,хорошо,отсутствует,отсутствует,более_30
жен,75,да,3904,1,1,5,плохо,отсутствует,отсутствует,плохо,плохо,более_30
жен,47,нет,4162,0,0,1,плохо,отсутствует,хорошо,отсутствует,плохо,более_30
муж,36,да,4002,0,1,3,отсутствует,плохо,отсутствует,плохо,отсутствует,более_30
жен,74,нет,3674,0,0,4,плохо,отсутствует,хорошо,плохо,хорошо,более_30
жен,82,да,2196,0,1,1,отсутствует,плохо,хорошо,хорошо,хорошо,более_30
жен,68,нет,2559,0,1,4,хорошо,плохо,плохо,плохо,отсутствует,более_30
жен,49,да,1223,1,1,1,хорошо,плохо,отсутствует,хорошо,хорошо,более_30
муж,23,да,2177,0,0,4,отсутствует,отсутствует,плохо,отсутствует,хорошо,менее_30
жен,82,да,4565,1,1,2,отсутствует,отсутствует,плохо,отсутствует,плохо,более_30
жен,73,да,690,1,0,4,отсутствует,хорошо,плохо,хорошо,хорошо,более_30
жен,23,да,1195,0,1,2,плохо,хорошо,плохо,хорошо,хорошо,менее_30
жен,46,да,3560,0,0,4,хорошо,хорошо,хорошо,хорошо,плохо,более_30
жен,72,да,4075,1,0,2,хорошо,отсутствует,хорошо,плохо,плохо,более_30
муж,90,да,706,0,0,4,хорошо,хорошо,отсутствует,хорошо,отсутствует,более_30
муж,19,да,1408,0,0,4,хорошо,отсутствует,плохо,плохо,плохо,менее_30
жен,53,нет,3717,0,0,5,хорошо,плохо,хорошо,отсутствует,хорошо,более_30
муж,13,нет,3688,1,0,1,хорошо,хорошо,хорошо,плохо,хорошо,менее_30
жен,67,да,3130,0,1,4,хорошо,хорошо,отсутствует,плохо,плохо,более_30
муж,36,нет,1155,0,0,2,отсутствует,плохо,хорошо,отсутствует,хорошо,более_30
жен,81,да,4870,1,1,2,плохо,плохо,отсутствует,плохо,хорошо,более_30
жен,62,нет,4360,0,0,4,плохо,отсутствует,хорошо,плохо,хорошо,более_30
жен,20,да,2189,1,1,4,плохо,плохо,плохо,плохо,плохо,менее_30
жен,84,нет,4547,1,0,4,плохо,хорошо,хорошо,отсутствует,плохо,более_30
жен,17,да,4758,1,1,2,плохо,плохо,хорошо,отсутствует,хорошо,менее_30
муж,20,да,1875,1,1,1,плохо,хорошо,отсутствует,плохо,отсутствует,менее_30
жен,3,да,1890,0,0,5,плохо,плохо,плохо,плохо,отсутствует,менее_30
жен,2,нет,2906,1,0,5,хорошо,отсутствует,плохо,отсутствует,отсутствует,менее_30
жен,4,да,2788,0,0,5,хорошо,хорошо,отсутствует,плохо,плохо,менее_30
муж,75,нет,4331,0,0,1,отсутствует,хорошо,хорошо,хорошо,хорошо,более_30
муж,6,да,147,1,1,5,отсутствует,хорошо,хорошо,хорошо,хорошо,менее_30
жен,31,нет,509,0,0,4,отсутствует,плохо,плохо,плохо,отсутствует,более_30
жен,57,нет,1900,0,0,2,отсутствует,плохо,отсутствует,хорошо,отсутствует,более_30
муж,6,да,638,0,1,5,плохо,отсутствует,плохо,плохо,отсутствует,менее_30
жен,27,да,4876,0,0,3,хорошо,отсутствует,отсутствует,хорошо,плохо,менее_30
муж,85,да,3369,1,0,1,плохо,хорошо,отсутствует,хорошо,хорошо,более_30
муж,31,да,3685,1,1,3,плохо,плохо,хорошо,отсутствует,плохо,более_30
муж,6,нет,2063,0,0,5,отсутствует,отсутствует,хорошо,хорошо,плохо,менее_30
жен,9,нет,550,0,0,1,плохо,отсутствует,хорошо,отсутствует,отсутствует,менее_30
муж,4,да,1843,0,0,2,плохо,отсутствует,хорошо,хорошо,хорошо,менее_30
муж,43,нет,1544,0,1,4,хорошо,плохо,отсутствует,плохо,плохо,более_30
жен,65,да,3200,1,0,2,отсутствует,плохо,хорошо,хорошо,хорошо,более_30
жен,7,нет,3666,1,0,3,отсутствует,хорошо,отсутствует,отсутствует,плохо,менее_30
